Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2024-01-02T15:00:00Z,"NVDA  240202P00445000",2024-01-12T15:00:00Z,Sell,4.25,0.51,16,5984,20.8,-4360,6024,4360,1,"	1,12" 
2024-01-03T15:00:00Z,"NVDA  240209P00435000",2024-01-12T15:00:00Z,Sell,5.5,0.68,10,4820,13,-725,4835,725,1,"	2,13" 
2024-01-04T15:00:00Z,"NVDA  240209P00430000",2024-01-11T15:00:00Z,Sell,5.3,0.75,6,2730,11.05,0,2742,30,1,"	3,9" 
2024-01-05T15:00:00Z,"NVDA  240209P00430000",2024-01-11T15:00:00Z,Sell,4.2,0.75,5,1725,3.25,-550,1735,10,1,"	4,9" 
2024-01-08T15:00:00Z,"NVDA  240209P00440000",2024-01-11T15:00:00Z,Sell,3.9,0.98,6,1752,7.8,0,1764,12,1,"	5,10" 
2024-01-09T15:00:00Z,"NVDA  240209P00475000",2024-01-11T15:00:00Z,Sell,4.95,2.77,6,1308,7.8,0,1329,21,1,"	6,8" 
2024-01-10T15:00:00Z,"NVDA  240216P00480000",2024-01-24T15:00:00Z,Sell,6,0.58,4,2168,5.2,0,2174,158,1,"	7,20" 
2024-01-11T15:00:00Z,"GOOGL 240216P00130000",2024-02-02T15:00:00Z,Sell,1.12,0.23,33,2937,42.9,-198,2970,660,1,"	11,26" 
2024-01-16T15:00:00Z,"GOOGL 240223P00130000",2024-02-06T15:00:00Z,Sell,0.97,0.15,44,3608,57.2,-2024,3652,2024,1,"	14,31" 
2024-01-17T15:00:00Z,"NVDA  240223P00505000",2024-01-22T15:00:00Z,Sell,8.85,4.85,7,2800,12.35,-665,2870,665,1,"	15,18" 
2024-01-18T15:00:00Z,"NVDA  240223P00505000",2024-01-22T15:00:00Z,Sell,9.7,4.85,5,2425,3.25,-50,2475,50,1,"	16,18" 
2024-01-19T15:00:00Z,"NVDA  240223P00515000",2024-01-23T15:00:00Z,Sell,9.6,5.5,5,2050,6.5,0,2150,100,1,"	17,19" 
2024-01-25T15:00:00Z,"NVDA  240301P00550000",2024-02-12T15:00:00Z,Sell,9.3,1.45,9,7065,11.7,-612,7128,1350,1,"	21,36" 
2024-01-26T15:00:00Z,"NVDA  240301P00555000",2024-02-15T15:00:00Z,Sell,10.15,1.54,7,6027,9.1,-630,6086.5,1207.5,1,"	22,43" 
2024-01-29T15:00:00Z,"NVDA  240301P00545000",2024-02-12T15:00:00Z,Sell,8.65,1.31,4,2936,5.2,0,2956,550,1,"	23,38" 
2024-01-30T15:00:00Z,"NVDA  240301P00560000",2024-02-12T15:00:00Z,Sell,8.75,1.78,4,2788,5.2,-720,2804,760,1,"	24,37" 
2024-01-31T15:00:00Z,"NVDA  240308P00560000",2024-02-12T15:00:00Z,Sell,9.95,2.5,3,2235,3.9,-697.5,2256,697.5,1,"	25,39" 
2024-02-02T15:00:00Z,"AMZN  240308P00145000",2024-02-05T15:00:00Z,Sell,1.67,0.24,16,2288,20.8,0,2320,32,1,"	27,28" 
2024-02-05T15:00:00Z,"AMZN  240322P00155000",2024-02-28T15:00:00Z,Sell,1.01,0.35,16,1056,32.5,-384,1080,1056,1,"	29,58" 
2024-02-05T15:00:00Z,"AMZN  240308P00155000",2024-03-09T05:00:00Z,Sell,0.59,0,13,767,8.45,-182,767,539.5,1,"	30,69" 
2024-02-06T15:00:00Z,"AMZN  240308P00155000",2024-03-09T05:00:00Z,Sell,0.62,0,21,1302,13.65,-231,1302,871.5,1,"	32,69" 
2024-02-07T15:00:00Z,"META  240315P00410000",2024-02-28T15:00:00Z,Sell,2.43,0.23,5,1100,6.5,0,1105,367.5,1,"	33,57" 
2024-02-08T15:00:00Z,"META  240315P00425000",2024-02-29T15:00:00Z,Sell,2.56,0.46,4,840,7.15,-436,856,546,1,"	34,61" 
2024-02-09T15:00:00Z,"META  240315P00425000",2024-02-29T15:00:00Z,Sell,2.53,0.46,3,621,1.95,-336,633,409.5,1,"	35,61" 
2024-02-12T15:00:00Z,"META  240315P00420000",2024-02-26T15:00:00Z,Sell,1.9,0.6,10,1300,13,-1000,1340,1070,1,"	40,51" 
2024-02-13T15:00:00Z,"AMZN  240315P00155000",2024-02-26T15:00:00Z,Sell,0.56,0.24,19,608,24.7,-836,627,836,1,"	41,52" 
2024-02-14T15:00:00Z,"AMZN  240322P00150000",2024-02-27T15:00:00Z,Sell,0.71,0.22,7,343,9.1,0,350,171.5,1,"	42,55" 
2024-02-15T15:00:00Z,"AMZN  240322P00155000",2024-02-28T15:00:00Z,Sell,0.78,0.35,18,774,11.7,-846,801,846,1,"	44,58" 
2024-02-16T15:00:00Z,"NVDA  240322P00650000",2024-02-23T15:00:00Z,Sell,20.75,3.75,3,5100,3.9,-3576,5151,3702,1,"	45,48" 
2024-02-21T15:00:00Z,"META  240328P00425000",2024-02-27T15:00:00Z,Sell,3.2,1.7,1,150,2,-37,159,37,1,"	46,54" 
2024-02-22T15:00:00Z,"META  240328P00420000",2024-02-23T15:00:00Z,Sell,2.86,1.55,1,131,2,0,141,10,1,"	47,49" 
2024-02-23T15:00:00Z,"META  240328P00440000",2024-02-28T15:00:00Z,Sell,3.1,2.34,6,456,13,0,483,39,1,"	50,59" 
2024-02-26T15:00:00Z,"META  240328P00440000",2024-02-28T15:00:00Z,Sell,3,2.34,8,528,5.2,-80,564,52,1,"	53,59" 
2024-02-27T15:00:00Z,"NVDA  240405P00715000",2024-03-26T14:00:00Z,Sell,15,0.27,4,5892,8.45,-80,5908,1510,1,"	56,91" 
2024-02-28T15:00:00Z,"NVDA  240405P00710000",2024-03-20T14:00:00Z,Sell,12.6,0.9,8,9360,10.4,-1060,9480,2800,1,"	60,77" 
2024-02-29T15:00:00Z,"NVDA  240405P00705000",2024-03-19T14:00:00Z,Sell,12.5,2.52,6,5988,7.8,0,6051,2106,1,"	62,75" 
2024-03-01T15:00:00Z,"NVDA  240405P00715000",2024-03-26T14:00:00Z,Sell,10.65,0.27,5,5190,3.25,-2275,5210,1887.5,1,"	63,91" 
2024-03-04T15:00:00Z,"META  240405P00455000",2024-03-25T14:00:00Z,Sell,2.71,0.38,8,1864,14.3,-2592,1888,3168,1,"	64,87" 
2024-03-05T15:00:00Z,"META  240405P00455000",2024-03-25T14:00:00Z,Sell,3.1,0.38,6,1632,3.9,-1710,1650,2376,1,"	65,87" 
2024-03-06T15:00:00Z,"META  240412P00445000",2024-03-22T14:00:00Z,Sell,4.05,0.78,3,981,3.9,-322.5,993,951,1,"	66,84" 
2024-03-07T15:00:00Z,"META  240412P00450000",2024-03-25T14:00:00Z,Sell,3.55,0.72,3,849,3.9,-810,867,1167,1,"	67,88" 
2024-03-08T15:00:00Z,"NVDA  240412P00835000",2024-03-25T14:00:00Z,Sell,22.25,7.3,2,2990,2.6,-4756,3025,4756,1,"	68,89" 
2024-03-12T14:00:00Z,"NVDA  240412P00775000",2024-03-21T14:00:00Z,Sell,20.65,4.2,1,1645,2,0,1660,450,1,"	70,81" 
2024-03-13T14:00:00Z,"NVDA  240419P00830000",2024-04-19T20:00:00Z,Sell,28.75,0,2,5750,1.3,-8015,5750,13371,0,"	71,112" 
2024-03-14T14:00:00Z,"META  240419P00450000",2024-03-22T14:00:00Z,Sell,4.45,1.51,2,588,2.6,-280,594,280,1,"	72,83" 
2024-03-19T14:00:00Z,"NVDA  240419P00800000",2024-03-20T14:00:00Z,Sell,22.15,14.4,2,1550,2.6,0,1590,40,1,"	76,78" 
2024-03-20T14:00:00Z,"NVDA  240426P00810000",2024-03-21T14:00:00Z,Sell,20.15,15.8,4,1740,5.2,0,1870,130,1,"	79,80" 
2024-03-21T14:00:00Z,"NVDA  240426P00820000",2024-03-22T14:00:00Z,Sell,17.6,16,5,800,6.5,0,1085,285,1,"	82,85" 
2024-03-22T14:00:00Z,"MSFT  240426P00385000",2024-04-16T14:00:00Z,Sell,1.31,2.38,13,-1391,17.55,-1391,1053,2444,0,"	86,107" 
2024-03-25T14:00:00Z,"MSFT  240426P00385000",2024-04-16T14:00:00Z,Sell,0.7,2.38,1,-168,11.05,-168,20,188,0,"	90,107" 
2024-03-25T14:00:00Z,"MSFT  240426P00385000",2024-04-19T14:00:00Z,Sell,0.7,3.45,9,-2475,5.85,-2475,180,2655,0,"	90,111" 
2024-03-25T14:00:00Z,"MSFT  240426P00385000",2024-04-27T04:00:00Z,Sell,0.7,0,7,490,0,-3080,490,3220,1,"	90,122" 
2024-03-26T14:00:00Z,"MSFT  240426P00380000",2024-04-22T14:00:00Z,Sell,1.1,3.3,16,-3520,20.8,-3520,1104,4624,0,"	92,117" 
2024-03-27T14:00:00Z,"MSFT  240503P00380000",2024-05-04T04:00:00Z,Sell,1.82,0,11,2002,7.15,-3773,2002,4620,1,"	93,134" 
2024-03-28T14:00:00Z,"AMZN  240503P00160000",2024-05-04T04:00:00Z,Sell,1.36,0,18,2448,11.7,-1350,2448,2790,1,"	94,132" 
2024-04-01T14:00:00Z,"AMZN  240503P00165000",2024-05-04T04:00:00Z,Sell,2.16,0,13,2808,8.45,-1651,2808,3250,1,"	95,133" 
2024-04-02T14:00:00Z,"AMZN  240503P00165000",2024-05-04T04:00:00Z,Sell,1.78,0,12,2136,7.8,-1980,2136,3000,1,"	96,133" 
